idx,combo,hr3,n3,hr5,over_hr,under_hr,mae,gates
1,"tier-weight=star=2.0,starter=1.2,role=0.8,...",75.0,20,83.33,100.0,61.5,5.1852,False
10,"tier-weight=star=2.0,starter=1.5,role=1.0,...",73.91,23,100.0,88.9,64.3,5.1369,False
11,"tier-weight=star=3.0,starter=1.0,role=0.8,...",73.08,26,100.0,83.3,64.3,5.1725,False
8,"tier-weight=star=4.0,starter=2.0,role=1.0,...",72.0,25,71.43,100.0,56.2,5.1883,False
0,"tier-weight=star=2.0,starter=1.2,role=1.0,...",71.43,21,100.0,100.0,53.8,5.1745,False
9,"tier-weight=star=4.0,starter=2.0,role=0.8,...",70.83,24,100.0,100.0,56.2,5.1534,False
4,"tier-weight=star=2.5,starter=1.3,role=1.0,...",70.0,20,80.0,87.5,58.3,5.1914,False
6,"tier-weight=star=1.5,starter=1.0,role=0.8,...",69.23,26,85.71,81.8,60.0,5.1592,False
7,"tier-weight=star=1.5,starter=1.0,role=0.6,...",66.67,24,100.0,81.8,53.8,5.1791,False
2,"tier-weight=star=3.0,starter=1.5,role=1.0,...",65.38,26,100.0,88.9,52.9,5.1621,False
3,"tier-weight=star=3.0,starter=1.5,role=0.8,...",65.38,26,80.0,90.0,50.0,5.2043,False
5,"tier-weight=star=2.5,starter=1.3,role=0.8,...",62.96,27,83.33,88.9,50.0,5.1731,False
